ds,y
2024-08-11,24.0
2024-08-13,23.1
2024-08-14,20.5
2024-08-15,25.0
2024-08-15,20.65
2024-08-16,24.35
2024-08-16,24.5
2024-08-17,20.950000000000003
2024-08-19,21.75
2024-08-20,20.5
2024-08-21,25.200000000000003
2024-08-22,20.5
2024-08-23,24.0
2024-08-24,21.4
2024-08-25,20.15
2024-08-25,20.950000000000003
2024-08-25,24.0
2024-08-27,24.5
2024-08-28,23.75
2024-08-29,20.5
2024-08-30,23.25
2024-08-30,25.25
2024-08-31,25.25
2024-09-04,22.875
2024-09-04,21.4
2024-09-06,21.75
2024-09-07,20.5
2024-09-08,23.15
2024-09-09,24.875
2024-09-10,20.5
2024-09-10,21.75
2024-09-11,23.4
2024-09-13,23.2
2024-09-15,24.6
2024-09-15,24.25
2024-09-16,21.5
2024-09-17,20.549999999999997
2024-09-17,23.5
2024-09-17,23.75
2024-09-18,20.5
2024-09-18,23.2
2024-09-19,23.75
2024-09-19,25.25
2024-09-20,24.25
2024-09-20,25.25
2024-09-21,23.75
2024-09-22,21.5
2024-09-24,25.0
2024-09-26,23.65
2024-09-26,24.625
2024-09-27,20.5
2024-09-28,21.05
2024-09-29,20.25
2024-09-30,20.950000000000003
2024-10-05,20.85
2024-10-08,25.25
2024-10-09,24.5
2024-10-09,23.0
2024-10-10,24.8
2024-10-11,20.75
2024-10-13,23.0
2024-10-14,23.3
2024-10-15,23.5
2024-10-16,23.25
2024-10-18,24.625
2024-10-19,22.875
2024-10-19,23.5
2024-10-20,20.5
2024-10-22,20.5
2024-10-23,25.1
2024-10-23,21.75
2024-10-27,20.950000000000003
2024-10-27,21.75
2024-10-27,25.3
2024-10-28,24.15
2024-10-28,20.2
2024-10-28,23.25
2024-10-29,23.15
2024-10-29,23.4
2024-10-31,24.625
2024-11-04,23.0
2024-11-05,20.15
2024-11-05,20.6
2024-11-05,20.25
2024-11-05,20.5
2024-11-06,20.6
2024-11-07,24.0
2024-11-09,22.0
2024-11-09,25.0
2024-11-09,25.25
2024-11-10,23.75
2024-11-11,23.2
2024-11-11,23.75
2024-11-13,25.0
2024-11-13,24.6
2024-11-14,20.15
2024-11-14,22.75
2024-11-15,21.5
2024-11-15,25.25
2024-11-15,20.75
2024-11-16,20.549999999999997
2024-11-17,23.1
2024-11-17,27.0
2024-11-18,20.15
2024-11-18,20.5
2024-11-19,20.65
2024-11-20,24.25
2024-11-22,20.299999999999997
2024-11-22,20.25
2024-11-24,20.950000000000003
2024-11-25,20.6
2024-11-25,24.625
2024-11-26,25.65
2024-11-27,22.875
2024-11-28,24.6
2024-11-29,25.25
2024-11-29,22.0
2024-11-30,23.5
2024-12-04,23.3
2024-12-06,23.5
2024-12-06,20.6
2024-12-06,23.1
2024-12-07,23.25
2024-12-07,21.05
2024-12-08,23.0
2024-12-09,21.1
2024-12-10,21.0
2024-12-11,21.0
2024-12-12,27.1
2024-12-13,27.1
2024-12-14,27.1
2024-12-16,27.1
2024-12-17,27.1
2024-12-18,27.1
2024-12-19,27.1
2024-12-20,27.1
2024-12-21,27.1
2024-12-23,27.0
2024-12-24,27.0
2024-12-25,27.0
2024-12-26,27.125
2024-12-27,27.125
2024-12-28,27.125
2024-12-30,27.125
2024-12-31,27.125
2025-01-01,27.125
2025-01-02,27.125
2025-01-03,27.125
2025-01-04,27.125
2025-01-05,27.125
2025-01-06,26.975
2025-01-07,26.975
2025-01-08,26.975
2025-01-09,26.975
2025-01-10,26.975
2025-01-13,27.125
2025-01-14,27.125
2025-01-15,27.125
2025-01-16,27.125
2025-01-17,27.15
2025-01-18,27.15
2025-01-20,27.0
2025-01-21,27.0
2025-01-22,26.625
2025-01-23,26.625
2025-01-24,26.625
2025-01-25,26.625
2025-01-27,26.625
2025-01-28,26.625
2025-01-29,26.625
2025-01-30,26.3
2025-01-31,26.3
2025-02-01,25.875
2025-02-03,25.5
2025-02-04,25.5
2025-02-05,25.5
2025-02-06,25.5
2025-02-07,25.5
2025-02-08,25.5
2025-02-10,25.5
2025-02-11,25.5
2025-02-12,25.5
2025-02-13,25.375
2025-02-14,25.375
2025-02-15,25.375
2025-02-16,25.375
2025-02-17,25.375
2025-02-18,25.375
2025-02-19,25.375
2025-02-20,25.375
2025-02-21,25.375
2025-02-22,24.75
2025-02-24,24.375
2025-02-25,24.375
2025-02-26,24.375
2025-02-27,24.25
2025-02-28,24.25
2025-03-01,24.25
2025-03-03,24.0
2025-03-04,24.0
2025-03-05,24.0
2025-03-06,24.0
2025-03-07,24.0
2025-03-08,24.0
2025-03-10,23.75
2025-03-11,23.75
2025-03-12,23.65
2025-03-13,23.65
2025-03-17,23.3
2025-03-18,23.3
2025-03-19,23.25
2025-03-20,23.1
2025-03-21,23.1
2025-03-22,23.0
2025-03-24,23.0
2025-03-25,22.95
2025-03-26,22.95
2025-03-27,22.875
2025-03-28,22.875
2025-03-29,22.7
2025-04-02,22.55
2025-04-03,22.55
2025-04-04,22.55
2025-04-05,23.125
2025-04-07,23.125
2025-04-08,23.450000000000003
2025-04-09,23.65
2025-04-10,23.2
2025-04-11,24.0
2025-04-12,24.0
2025-04-14,23.5
2025-04-15,23.5
2025-04-16,23.4
2025-04-17,23.4
2025-04-18,23.4
2025-04-19,23.4
2025-04-21,23.0
2025-04-22,22.95
2025-04-23,22.975
2025-04-24,22.25
2025-04-25,21.4
2025-04-26,21.85
2025-04-27,22.1
2025-04-28,21.950000000000003
2025-04-29,22.0
2025-04-30,22.0
2025-05-01,22.125
2025-05-02,22.1
2025-05-03,22.1
2025-05-04,22.125
2025-05-05,22.15
2025-05-06,22.0
2025-05-07,22.125
2025-05-08,22.0
2025-05-09,21.75
2025-05-10,22.0
2025-05-11,22.15
2025-06-12,21.0
2025-06-13,21.1
2025-06-14,21.5
2025-06-15,21.5
2025-06-16,21.15
2025-06-17,21.0
2025-06-18,22.53
2025-06-19,22.53
2025-06-20,22.6
2025-06-21,21.85
2025-06-22,22.0
2025-06-23,22.0
2025-06-24,22.0
2025-06-25,22.25
2025-06-26,22.25
2025-06-27,22.25
2025-06-28,22.0
2025-06-29,22.0
2025-07-01,22.25
2025-07-02,22.25
2025-07-03,22.5
2025-07-04,22.5
2025-07-05,22.5
2025-07-06,22.5
2025-07-07,22.5
2025-07-08,22.5
2025-07-10,22.5
2025-07-11,22.6
2025-07-12,22.6
2025-07-13,22.6
2025-07-14,22.5
2025-07-15,22.5
2025-07-16,22.5
2025-07-17,23.0
2025-07-18,23.0
2025-07-19,23.0
2025-07-21,22.5
2025-07-22,22.5
2025-07-23,22.5
2025-07-24,22.5
2025-07-25,22.5
2025-07-26,22.5
2025-07-28,23.0
2025-07-29,23.0
2025-07-30,23.0
2025-07-31,23.0
2025-08-01,23.1
2025-08-02,23.1
2025-08-04,23.1
2025-08-05,23.1
2025-08-06,23.125
2025-08-07,23.125
2025-08-08,23.25
2025-08-09,23.25
2025-08-11,23.0
2025-08-12,23.0
2025-08-13,23.0
2025-08-14,23.25
2025-08-15,23.25
2025-08-16,23.25
2025-08-18,23.25
2025-08-19,23.0
2025-08-20,23.0
2025-08-21,23.0
2025-08-22,23.0
2025-08-23,23.0
2025-08-24,23.0
2025-08-25,23.0
2025-08-26,23.0
2025-08-27,23.0
2025-08-28,23.0
2025-08-29,23.0
2025-08-30,23.0
2025-09-01,22.65
2025-09-02,22.5
2025-09-03,22.75
2025-09-04,22.75
2025-09-05,22.5
2025-09-06,22.5
2025-09-08,22.9
2025-09-09,22.9
2025-09-10,22.9
2025-09-11,22.9
2025-09-12,22.6
2025-09-16,22.5
2025-09-17,22.5
2025-09-18,22.5
2025-09-19,22.25
2025-09-20,22.25
2025-09-22,22.25
2025-09-23,22.125
2025-09-24,22.125
2025-09-25,22.125
2025-09-26,21.475
2025-09-27,21.475
2025-09-29,21.475
2025-09-30,21.475
2025-10-03,21.25
2025-10-04,21.5
2025-10-06,21.65
2025-10-07,21.25
2025-10-08,22.0
2025-10-09,21.5
2025-10-10,21.5
2025-10-11,21.5
2025-10-13,21.5
2025-10-14,21.5
2025-10-15,21.5
2025-10-16,21.35
2025-10-17,21.35
2025-10-18,21.35
2025-10-21,21.25
